Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Almería,La Liga,team,29,38,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Almería,La Liga,opponent,29,38,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Athletic Club,La Liga,team,26,38,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Athletic Club,La Liga,opponent,26,38,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Atlético Madrid,La Liga,team,27,38,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Atlético Madrid,La Liga,opponent,27,38,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Barcelona,La Liga,team,29,38,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Barcelona,La Liga,opponent,29,38,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Betis,La Liga,team,30,38,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Betis,La Liga,opponent,30,38,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Celta Vigo,La Liga,team,26,38,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Celta Vigo,La Liga,opponent,26,38,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Cádiz,La Liga,team,38,38,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Cádiz,La Liga,opponent,38,38,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Elche,La Liga,team,32,38,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Elche,La Liga,opponent,32,38,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Espanyol,La Liga,team,33,38,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Espanyol,La Liga,opponent,33,38,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Getafe,La Liga,team,25,38,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Getafe,La Liga,opponent,25,38,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Girona,La Liga,team,29,38,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Girona,La Liga,opponent,29,38,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Mallorca,La Liga,team,31,38,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
2023,Mallorca,La Liga,opponent,31,38,20763,18826,1897,657,48,130,822,738,194,54,59,6,16934,40,323,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
2023,Osasuna,La Liga,team,26,38,16835,14900,1875,523,26,197,794,799,159,64,65,3,12725,60,345,https://fbref.com/en/squads/03c57e2b/2022-2023/Osasuna-Stats
2023,Osasuna,La Liga,opponent,26,38,18199,16063,2027,574,46,175,696,861,192,58,69,4,14139,109,344,https://fbref.com/en/squads/03c57e2b/2022-2023/Osasuna-Stats
2023,Rayo Vallecano,La Liga,team,28,38,17666,15514,2054,564,29,194,832,901,189,78,69,1,13497,98,365,https://fbref.com/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
2023,Rayo Vallecano,La Liga,opponent,28,38,17027,14931,2011,615,30,182,654,804,180,82,63,3,12926,85,379,https://fbref.com/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
2023,Real Madrid,La Liga,team,26,38,25012,23163,1760,555,65,242,574,653,226,83,53,1,22082,89,353,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Madrid,La Liga,opponent,26,38,15986,14341,1589,436,36,121,541,545,145,62,42,3,13004,56,299,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Sociedad,La Liga,team,30,38,19134,17244,1799,537,47,107,538,782,165,57,71,1,15324,91,324,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Real Sociedad,La Liga,opponent,30,38,16093,13951,2051,691,34,147,570,817,154,51,48,1,12130,91,332,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Sevilla,La Liga,team,35,38,19193,17244,1843,526,36,209,827,746,174,42,81,1,15379,106,307,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
2023,Sevilla,La Liga,opponent,35,38,17319,15346,1898,543,49,187,673,774,170,68,62,2,13660,75,277,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
2023,Valencia,La Liga,team,28,38,17492,15405,2007,570,39,164,924,852,226,67,88,0,13592,80,345,https://fbref.com/en/squads/dcc91a7b/2022-2023/Valencia-Stats
2023,Valencia,La Liga,opponent,28,38,16357,14310,1973,559,51,167,594,837,175,77,73,0,12580,74,347,https://fbref.com/en/squads/dcc91a7b/2022-2023/Valencia-Stats
2023,Valladolid,La Liga,team,36,38,16425,14336,1991,576,33,225,683,786,170,49,91,3,12627,98,365,https://fbref.com/en/squads/17859612/2022-2023/Valladolid-Stats
2023,Valladolid,La Liga,opponent,36,38,17448,15392,2003,523,55,141,734,875,211,88,68,2,13635,53,349,https://fbref.com/en/squads/17859612/2022-2023/Valladolid-Stats
2023,Villarreal,La Liga,team,32,38,19862,17980,1795,574,86,186,520,642,210,96,39,4,16634,87,347,https://fbref.com/en/squads/2a8183b3/2022-2023/Villarreal-Stats
2023,Villarreal,La Liga,opponent,32,38,15331,13541,1682,508,50,138,708,596,182,67,69,0,12047,108,304,https://fbref.com/en/squads/2a8183b3/2022-2023/Villarreal-Stats
2024,Alavés,La Liga,team,30,38,14116,12133,1914,506,29,124,830,802,187,45,74,4,10091,69,372,https://fbref.com/en/squads/8d6fd021/2023-2024/Alaves-Stats
2024,Alavés,La Liga,opponent,30,38,20256,18248,1948,519,55,144,686,850,167,64,74,1,16352,60,310,https://fbref.com/en/squads/8d6fd021/2023-2024/Alaves-Stats
2024,Almería,La Liga,team,35,38,16540,14559,1906,555,35,112,659,741,167,64,63,0,12774,75,320,https://fbref.com/en/squads/78ecf4bb/2023-2024/Almeria-Stats
2024,Almería,La Liga,opponent,35,38,19368,17353,1942,519,54,171,828,820,220,74,101,3,15460,73,352,https://fbref.com/en/squads/78ecf4bb/2023-2024/Almeria-Stats
2024,Athletic Club,La Liga,team,27,38,18724,16746,1900,528,70,111,845,817,208,79,89,0,14509,78,364,https://fbref.com/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
2024,Athletic Club,La Liga,opponent,27,38,19081,17121,1869,561,40,189,626,744,161,71,54,0,14887,91,352,https://fbref.com/en/squads/2b390eca/2023-2024/Athletic-Club-Stats
2024,Atlético Madrid,La Liga,team,27,38,20709,18869,1717,489,76,179,621,675,174,59,74,0,17064,123,343,https://fbref.com/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2024,Atlético Madrid,La Liga,opponent,27,38,19995,18152,1806,545,29,110,764,662,194,63,75,0,16440,37,419,https://fbref.com/en/squads/db3b9613/2023-2024/Atletico-Madrid-Stats
2024,Barcelona,La Liga,team,29,38,24761,22805,1857,574,98,200,651,709,238,95,82,2,21506,99,335,https://fbref.com/en/squads/206d90db/2023-2024/Barcelona-Stats
2024,Barcelona,La Liga,opponent,29,38,13768,12007,1644,489,47,120,574,562,148,66,61,2,10455,117,302,https://fbref.com/en/squads/206d90db/2023-2024/Barcelona-Stats
2024,Betis,La Liga,team,35,38,18979,16983,1923,603,43,138,636,741,217,83,86,2,15310,73,381,https://fbref.com/en/squads/fc536746/2023-2024/Real-Betis-Stats
2024,Betis,La Liga,opponent,35,38,18933,17017,1810,468,56,106,712,787,192,84,81,2,15171,106,388,https://fbref.com/en/squads/fc536746/2023-2024/Real-Betis-Stats
2024,Celta Vigo,La Liga,team,31,38,17776,15843,1870,526,63,112,661,759,181,65,76,1,13890,63,380,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Celta Vigo,La Liga,opponent,31,38,21005,19016,1936,499,33,162,746,865,189,52,89,1,16975,53,395,https://fbref.com/en/squads/f25da7fb/2023-2024/Celta-Vigo-Stats
2024,Cádiz,La Liga,team,34,38,14990,12985,1915,560,24,130,791,751,170,63,80,0,10763,90,304,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Cádiz,La Liga,opponent,34,38,19905,17878,1962,628,45,130,758,792,174,63,65,1,15783,65,372,https://fbref.com/en/squads/ee7c297c/2023-2024/Cadiz-Stats
2024,Getafe,La Liga,team,33,38,15193,13180,1935,575,20,224,701,803,143,76,37,1,10713,78,313,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Getafe,La Liga,opponent,33,38,18849,16675,2033,695,78,136,640,805,173,60,66,1,14502,141,292,https://fbref.com/en/squads/7848bd64/2023-2024/Getafe-Stats
2024,Girona,La Liga,team,25,38,21914,20127,1692,514,56,172,698,624,159,61,67,1,18793,95,314,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Girona,La Liga,opponent,25,38,16590,14841,1700,477,38,124,711,641,161,75,60,1,13335,49,314,https://fbref.com/en/squads/9024a00a/2023-2024/Girona-Stats
2024,Granada,La Liga,team,40,38,15976,13933,1968,615,46,96,664,795,149,56,51,1,12127,75,345,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Granada,La Liga,opponent,40,38,19420,17386,1926,554,61,162,718,824,201,78,77,1,15485,108,365,https://fbref.com/en/squads/a0435291/2023-2024/Granada-Stats
2024,Las Palmas,La Liga,team,29,38,22882,20865,1924,655,66,83,580,761,159,58,55,1,19105,93,392,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Las Palmas,La Liga,opponent,29,38,15778,13845,1769,473,103,121,694,752,211,89,88,2,11893,164,371,https://fbref.com/en/squads/0049d422/2023-2024/Las-Palmas-Stats
2024,Mallorca,La Liga,team,25,38,15645,13739,1802,444,51,118,763,772,173,57,86,7,11476,104,328,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Mallorca,La Liga,opponent,25,38,19315,17321,1958,630,34,130,656,832,152,57,46,1,15384,36,277,https://fbref.com/en/squads/2aa12281/2023-2024/Mallorca-Stats
2024,Osasuna,La Liga,team,29,38,17335,15309,1958,520,19,124,813,867,170,83,68,1,12874,68,383,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Osasuna,La Liga,opponent,29,38,19141,17116,1899,561,64,147,694,776,175,75,55,0,14977,126,343,https://fbref.com/en/squads/03c57e2b/2023-2024/Osasuna-Stats
2024,Rayo Vallecano,La Liga,team,26,38,17459,15351,2012,580,43,141,688,858,169,77,53,2,13282,96,333,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Rayo Vallecano,La Liga,opponent,26,38,17768,15686,1995,637,51,135,682,787,173,67,69,1,13590,87,360,https://fbref.com/en/squads/98e8af82/2023-2024/Rayo-Vallecano-Stats
2024,Real Madrid,La Liga,team,27,38,24691,22843,1769,553,93,224,618,650,211,66,86,0,21794,79,285,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Madrid,La Liga,opponent,27,38,17114,15408,1668,435,33,163,680,644,145,62,48,1,14072,38,376,https://fbref.com/en/squads/53a2f082/2023-2024/Real-Madrid-Stats
2024,Real Sociedad,La Liga,team,31,38,19249,17319,1838,534,48,122,672,830,198,103,60,0,15263,92,340,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Real Sociedad,La Liga,opponent,31,38,15616,13483,2035,651,27,130,523,829,137,43,62,1,11674,98,322,https://fbref.com/en/squads/e31d1cd9/2023-2024/Real-Sociedad-Stats
2024,Sevilla,La Liga,team,35,38,18599,16643,1879,513,28,206,934,807,180,72,76,0,14628,77,357,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Sevilla,La Liga,opponent,35,38,18653,16574,2001,528,62,141,698,843,196,56,69,4,14795,78,340,https://fbref.com/en/squads/ad2be733/2023-2024/Sevilla-Stats
2024,Valencia,La Liga,team,29,38,16255,14286,1900,550,36,111,593,868,124,23,47,1,12233,69,375,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Valencia,La Liga,opponent,29,38,20730,18759,1885,516,52,155,734,850,182,83,62,1,16672,86,344,https://fbref.com/en/squads/dcc91a7b/2023-2024/Valencia-Stats
2024,Villarreal,La Liga,team,32,38,18637,16709,1836,541,69,143,592,666,174,75,57,2,15349,92,335,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
2024,Villarreal,La Liga,opponent,32,38,19145,17341,1729,550,51,194,886,631,200,78,65,2,15642,75,305,https://fbref.com/en/squads/2a8183b3/2023-2024/Villarreal-Stats
